source_name,destination_name,route_type,median_delay_ratio,avg_delay_ratio,total_delay,avg_actual_time,avg_osrm_time,trip_count,sla_breach_count
Ranchi_Hub (Jharkhand),Dhanbad_Kalynpur_I (Jharkhand),Carting,2.338582677165354,2.3847239619705616,29483.0,176.10452961672473,73.37630662020906,21,286
Ranchi_Hub (Jharkhand),Bokaro_KSClny_DC (Jharkhand),Carting,4.363636363636363,4.404903983728372,29228.0,223.27810650887574,50.33136094674556,17,169
Silchar_Sirikona_H (Assam),Guwahati_Hub (Assam),FTL,2.116883116883117,2.139525892773825,28656.0,346.28859060402687,153.96644295302013,18,149
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),FTL,1.676923076923077,1.6676405046474856,28049.0,257.2762645914397,148.13618677042803,20,235
Rajamundry_AtoNgrRd_I (Andhra Pradesh),Hyderabad_Shamshbd_H (Telangana),FTL,2.061318407960199,2.187949640814344,28028.0,368.1102941176471,162.02205882352942,8,136
MAA_Poonamallee_HB (Tamil Nadu),Hyderabad_Shamshbd_H (Telangana),FTL,1.5994897959183674,1.6438623910801455,27084.0,432.18633540372673,263.9627329192547,7,160
Pali_Nayagaon_I (Rajasthan),Jaipur_Hub (Rajasthan),FTL,1.968503937007874,1.9923180146670356,27027.0,251.61290322580646,127.06451612903226,17,217
Aluva_Peedika_H (Kerala),Bangalore_Nelmngla_H (Karnataka),FTL,1.5591130717436732,1.6007343982142743,26414.0,404.8625,239.775,10,154
Bangalore_Nelmngla_H (Karnataka),Hyderabad_Shamshbd_H (Telangana),FTL,1.656862745098039,1.6974197260301158,26105.0,365.0738636363636,216.75,8,175
Kanpur_Central_H_6 (Uttar Pradesh),Delhi_Airport_H (Delhi),FTL,2.0775193798449614,2.424996191919936,25832.0,480.86813186813185,197.0,6,91
Gwalior_HrihrNgr_I (Madhya Pradesh),Gurgaon_Bilaspur_HB (Haryana),FTL,1.528301886792453,1.5572396084035238,25824.0,231.10932475884243,148.07395498392282,26,285
Gurgaon_Bilaspur_HB (Haryana),Jaipur_Hub (Rajasthan),FTL,2.029827662395051,2.060929220857082,25577.0,186.88518518518518,92.15555555555555,30,270
Barshi_Kurduwdi_D (Maharashtra),Pune_Tathawde_H (Maharashtra),FTL,2.24468085106383,2.4212443221872313,25089.0,236.75401069518716,102.58823529411765,19,182
Jaora_RtlamNka_D (Madhya Pradesh),Ahmedabad_East_H_1 (Gujarat),FTL,1.780484697488746,1.8012412498714232,24015.0,264.1682692307692,148.71153846153845,16,207
MAA_Poonamallee_HB (Tamil Nadu),Bangalore_Nelmngla_H (Karnataka),FTL,1.725493963233361,1.6651540941232146,23780.0,269.14903846153845,154.8221153846154,16,201
Guwahati_Hub (Assam),Silchar_Sirikona_H (Assam),FTL,2.8846153846153846,2.9351099607337017,23763.0,397.3076923076923,136.17582417582418,12,91
Tikamgarh_MndiRoad_D (Madhya Pradesh),Satna_Central_I_2 (Madhya Pradesh),FTL,2.5211267605633805,2.6649976440074568,23729.0,255.56129032258065,102.47096774193548,16,155
Anantapur_KamaStrt_I (Andhra Pradesh),Hyderabad_Shamshbd_H (Telangana),FTL,1.704225352112676,1.7213300680923305,23625.0,237.042194092827,137.35864978902953,17,234
Rudrapur_UdhamNgr_H (Uttarakhand),Sonipat_Kundli_H (Haryana),FTL,1.9344262295081966,1.9556799317465374,23621.0,252.80213903743316,126.48663101604278,17,179
Jaipur_Hub (Rajasthan),Udaipur_Mangri_I (Rajasthan),FTL,1.8313253012048192,1.8392869679004193,23609.0,283.89385474860336,152.0,12,178
Nadaun_Ward6_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab),FTL,1.8419312169312168,2.2151445361511826,23061.0,276.7042253521127,114.30281690140845,18,132
Dhanbad_Kalynpur_I (Jharkhand),Kanpur_Central_H_6 (Uttar Pradesh),FTL,1.8313832695462002,1.7916926104529354,23052.0,523.7708333333334,283.6458333333333,3,96
Bengaluru_KGAirprt_HB (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),Carting,2.4235880398671092,2.3838073337425074,22789.0,92.03317535545024,38.03080568720379,86,365
Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),FTL,1.861482558139535,1.900202007386384,22298.0,125.92977528089888,63.29494382022472,72,337
Haridwar (Uttarakhand),Sonipat_Kundli_H (Haryana),FTL,2.63265306122449,2.802132285364369,22283.0,292.62393162393164,102.17094017094017,18,117
Bangalore_Nelmngla_H (Karnataka),Surat_HUB (Gujarat),FTL,1.98812351543943,2.013491180920405,21637.0,933.2340425531914,472.8723404255319,1,47
Ranchi_Hub (Jharkhand),Guwahati_Hub (Assam),FTL,2.7804878048780486,2.459336771989317,21568.0,1030.969696969697,377.3939393939394,1,32
Noida_Sector02_C (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),FTL,1.7688747249411945,1.8103352993656578,21202.0,288.5176470588235,163.8,10,169
Jhanjharpur_Nagar_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),FTL,8.294856459330143,8.089729862887236,20168.0,497.69565217391306,59.26086956521739,18,46
Solapur_Central_I_2 (Maharashtra),Hyderabad_Shamshbd_H (Telangana),FTL,1.5009293680297398,1.5259627634496178,20060.0,258.29816513761466,166.27981651376146,17,168
Muzaffrpur_Bbganj_I (Bihar),Purnia_Central_H_2 (Bihar),FTL,1.7252747252747254,1.7753540343823375,20046.0,214.67464114832535,118.76076555023923,19,207
Jalandhar_Sodal Road (Punjab),Chandigarh_Mehmdpur_H (Punjab),Carting,2.1318840579710145,2.1662468737099823,19976.0,138.83070866141733,60.18503937007874,15,248
Gurgaon_Bilaspur_HB (Haryana),Noida_Sector63_L (Uttar Pradesh),Carting,1.9852941176470589,2.1192614418713385,19912.0,118.95065789473684,53.45065789473684,39,300
Bhubaneshwar_Hub (Orissa),Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),FTL,1.544038538739462,1.5658107033823767,19765.0,305.28977272727275,192.98863636363637,10,176
Durgapur_Central_I_1 (West Bengal),Kolkata_Dankuni_HB (West Bengal),FTL,2.588235294117647,3.809152707786889,19475.0,301.50602409638554,66.86746987951807,12,83
Bangalore_Nelmngla_H (Karnataka),MAA_Poonamallee_HB (Tamil Nadu),FTL,1.7408999307261164,1.7922140199887029,19444.0,255.8021978021978,148.96703296703296,14,181
Pallakad_ChndrNgr_D (Kerala),Bangalore_Nelmngla_H (Karnataka),FTL,1.6409012020312401,1.676035593948697,19423.0,336.86805555555554,201.98611111111111,12,144
Pune_Tathawde_H (Maharashtra),Solapur_Central_I_2 (Maharashtra),FTL,1.413322671319182,1.4082691678137547,18975.0,181.1141975308642,122.54938271604938,27,251
Hyderabad_Shamshbd_H (Telangana),Solapur_Central_I_2 (Maharashtra),FTL,1.9296711707733523,1.9584856187417472,18590.0,279.15441176470586,142.46323529411765,11,132
Udaipur_Mangri_I (Rajasthan),Ahmedabad_East_H_1 (Gujarat),FTL,2.2377896372356956,2.401318311517873,18436.0,234.08450704225353,104.25352112676056,14,142
Hyderabad_Shamshbd_H (Telangana),Bangalore_Nelmngla_H (Karnataka),FTL,1.66840755235879,1.6578719604568364,17815.0,403.92727272727274,241.97272727272727,5,109
Bengaluru_Bomsndra_HB (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),Carting,1.509433962264151,1.6646737791420587,17416.0,66.40495867768595,37.61818181818182,121,485
Bhopal_Trnsport_H (Madhya Pradesh),Jabalpur_Adhartal_IP (Madhya Pradesh),FTL,2.3772916830592496,2.4730989296641854,17395.0,311.7604166666667,130.5625,8,96
Delhi_Gateway_HB (Delhi),Chandigarh_Mehmdpur_H (Punjab),FTL,1.7976190476190477,1.802076992554412,17340.0,178.83809523809524,96.26666666666667,21,206
Ahmedabad_East_H_1 (Gujarat),Udaipur_Mangri_I (Rajasthan),FTL,2.0,2.045016995163276,17176.0,228.73154362416108,113.45637583892618,14,148
Gurgaon_Bilaspur_HB (Haryana),Delhi_Jhilmil_L (Delhi),Carting,2.0,2.1825319488467074,17122.0,113.98872180451127,49.6203007518797,36,152
Bhiwandi_Mankoli_HB (Maharashtra),Solapur_Central_I_2 (Maharashtra),FTL,1.7555555555555555,1.8186529946086274,17081.0,312.46902654867256,161.30973451327435,7,108
Ongole_SubhVRTL_I (Andhra Pradesh),MAA_Poonamallee_HB (Tamil Nadu),FTL,1.8082191780821917,1.8150519415254704,17018.0,270.4822695035461,149.7872340425532,11,141
Raxaul_KairiyaT_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),FTL,2.6534653465346536,3.2241086548255424,16277.0,203.06194690265488,59.017699115044245,20,113
Dehradun (Uttarakhand),Sonipat_Kundli_H (Haryana),FTL,2.0602569473537216,2.1296124129608467,15905.0,274.99074074074076,127.72222222222223,12,108
Srikakulam_Kuslpram_I (Andhra Pradesh),Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),Carting,2.254525246109876,2.3853230487601045,15790.0,120.90517241379311,52.8448275862069,22,232
Aurangabad_Central_H_1 (Maharashtra),Pune_Tathawde_H (Maharashtra),FTL,2.0708333333333337,2.1753979537056427,15587.0,227.26153846153846,107.36153846153846,13,130
Phalodi_PalikDPP_D (Rajasthan),Jodhpur_Basni_I (Rajasthan),FTL,2.6923076923076925,4.089973002432493,15319.0,363.31481481481484,79.62962962962963,14,51
Bengaluru_KGAirprt_HB (Karnataka),Bangalore_Nelmngla_H (Karnataka),Carting,1.6666666666666667,1.8530464544059728,15296.0,75.61882352941177,39.628235294117644,108,381
Pune_Tathawde_H (Maharashtra),Hubli_Adargchi_IP (Karnataka),FTL,1.9291338582677164,1.977047446849013,15267.0,348.7684210526316,188.06315789473683,5,95
Bhiwandi_Mankoli_HB (Maharashtra),Surat_HUB (Gujarat),FTL,2.0,2.2658293332587185,15118.0,247.4018691588785,106.11214953271028,11,107
Surat_HUB (Gujarat),Ahmedabad_East_H_1 (Gujarat),FTL,1.6352201257861636,1.6582917044961754,14961.0,181.01492537313433,106.58208955223881,21,199
Bangalore_Nelmngla_H (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),Carting,1.6216216216216217,1.7212274372599854,14761.0,56.398009950248756,31.918739635157547,151,547
Peterbar_GagiDPP_D (Jharkhand),Ranchi_Hub (Jharkhand),Carting,7.205483405483406,6.653918344317002,14442.0,310.44444444444446,43.0,8,54
Canacona_CharRsta_D (Goa),Mangalore_Kuntikna_H (Karnataka),FTL,2.0267562470532767,2.107090076565722,14382.0,290.5104166666667,140.69791666666666,8,96
Kankavali_NrdawDPP_D (Maharashtra),Pune_Tathawde_H (Maharashtra),FTL,2.054127052722558,2.09466482116692,14330.0,331.390243902439,156.6341463414634,7,81
Hisar_ModelTwn_P (Haryana),Delhi_Airport_H (Delhi),FTL,2.146067415730337,2.7695872728031263,14314.0,274.68831168831167,88.79220779220779,11,76
